City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Lewistown,90,US,1587212134,93,40.6,-77.57,43.0,8.05
85,Chokurdakh,0,RU,1587212135,86,70.63,147.92,-12.5,5.75
86,Kawalu,100,ID,1587212135,81,-7.38,108.21,75.09,2.28
87,Arraial do Cabo,40,BR,1587212135,78,-22.97,-42.03,75.2,14.99
88,Tiznit Province,20,MA,1587212135,28,29.58,-9.5,69.1,8.21
89,Honiara,75,SB,1587211949,100,-9.43,159.95,77.0,3.8
90,Mazatlán,50,MX,1587211982,93,23.22,-106.42,66.99,2.71
91,Yeppoon,43,AU,1587212135,69,-23.13,150.73,77.0,5.82
92,Semnan,27,IR,1587212135,18,35.57,53.4,69.66,5.77
93,Gao,15,ML,1587212136,6,16.64,1.64,106.43,10.56
94,Longyearbyen,75,SJ,1587212045,94,78.22,15.64,32.0,4.7
95,Bogorodskoye,94,RU,1587212136,56,56.55,37.88,43.32,12.68
96,Saint-Augustin,14,CA,1587212137,89,51.23,-58.65,23.16,7.18
97,Krasnosel'kup,100,RU,1587212137,87,65.7,82.47,40.6,23.87
98,Hobart,40,AU,1587211954,66,-42.88,147.33,48.99,3.36
99,Kiruna,1,SE,1587212138,69,67.86,20.23,39.2,14.99
100,Anloga,20,GH,1587212138,70,5.79,0.9,89.6,14.99
101,Kenai,90,US,1587212138,93,60.55,-151.26,39.0,3.36
102,Bereda,0,ES,1587212138,56,43.27,-7.54,64.0,10.0
103,Adrar,93,MR,1587212138,25,20.5,-10.07,84.0,14.18
104,Yellowknife,40,CA,1587212122,72,62.46,-114.35,14.0,8.05
105,Souillac,75,MU,1587212139,74,-20.52,57.52,82.0,16.11
106,Bluff,53,NZ,1587212139,91,-46.6,168.33,48.99,7.0
107,Mehamn,99,NO,1587212139,87,71.04,27.85,35.83,15.19
108,Sioux Lookout,90,CA,1587212112,55,50.1,-91.92,39.2,8.05
109,Omboué,45,GA,1587212139,79,-1.57,9.26,83.32,5.99
110,Azoyú,70,MX,1587212139,64,16.72,-98.73,75.47,1.9
111,Istok,40,XK,1587212139,15,42.78,20.49,75.2,5.82
112,Rawson,100,AR,1587211965,73,-43.3,-65.1,63.05,7.87
113,Troitskaya,100,RU,1587212140,38,43.31,44.98,64.4,4.47
114,Cherskiy,7,RU,1587212140,88,68.75,161.3,-2.07,6.91
115,Saint Anthony,1,US,1587212140,60,45.02,-93.22,41.0,11.41
116,Geraldton,90,AU,1587212140,73,-28.77,114.6,73.4,12.75
117,Curup,85,ID,1587212140,78,-3.47,102.53,71.33,0.27
118,Eskişehir,0,TR,1587212140,30,39.78,30.52,69.8,11.41
119,Avarua,1,CK,1587212141,88,-21.21,-159.78,73.4,2.24
120,Nelson Bay,0,AU,1587212141,81,-32.72,152.15,53.6,4.92
121,Wattegama,61,LK,1587212141,67,6.8,81.48,84.34,5.5
122,São Félix do Xingu,98,BR,1587212141,86,-6.64,-51.99,74.41,0.38
123,Ferme-Neuve,8,CA,1587212141,86,46.7,-75.45,30.54,3.65
124,Synya,100,RU,1587212141,91,65.37,58.04,41.49,2.37
125,Nsanje,42,MW,1587212141,58,-16.92,35.26,86.58,8.34
126,Qaanaaq,1,GL,1587212141,77,77.48,-69.36,12.78,5.91
127,Kizema,98,RU,1587212142,67,61.11,44.83,41.05,4.99
128,Khāsh,89,IR,1587212142,18,28.22,61.22,74.64,6.38
129,Duminichi,90,RU,1587212142,57,53.93,35.11,42.91,14.43
130,Contamana,99,PE,1587212142,77,-7.33,-75.02,70.18,2.24
131,Richards Bay,1,ZA,1587212142,60,-28.78,32.04,79.32,10.2
132,Butaritari,86,KI,1587212142,75,3.07,172.79,83.64,16.04
133,Santa Cruz,40,MA,1587212142,41,30.42,-9.6,75.2,5.82
134,Fare,100,PF,1587212143,68,-16.7,-151.02,83.32,2.59
135,Bambous Virieux,75,MU,1587212143,74,-20.34,57.76,82.0,16.11
136,Srednekolymsk,92,RU,1587212143,90,67.45,153.68,-6.95,9.86
137,Kilindoni,96,TZ,1587212143,77,-7.91,39.67,83.1,17.85
138,Saint Paul Harbor,90,US,1587212144,81,57.79,-152.41,44.6,6.93
139,Airai,34,TL,1587212144,69,-8.93,125.41,62.55,2.64
140,Kapaa,75,US,1587212144,78,22.08,-159.32,73.4,12.75
141,Labuhan,100,ID,1587212144,79,-6.88,112.21,81.82,5.26
142,Walvis Bay,2,NA,1587212144,68,-22.96,14.51,64.4,11.41
143,Beringovskiy,100,RU,1587212144,96,63.05,179.32,17.02,20.69
144,Umba,95,RU,1587212144,90,66.69,34.34,34.47,14.94
145,Adet,49,ET,1587212145,12,11.26,37.49,82.2,8.59
146,Pocatello,1,US,1587212145,79,42.87,-112.45,33.01,4.7
147,Hamilton,75,US,1587212117,74,39.18,-84.53,37.4,6.93
148,Gallup,1,US,1587212145,54,35.53,-108.74,39.99,3.36
149,Sambava,64,MG,1587212146,62,-14.27,50.17,83.61,10.83
150,Eenhana,6,NA,1587212146,43,-17.47,16.33,89.6,10.29
151,Vaini,40,TO,1587212146,78,-21.2,-175.2,77.0,9.17
